,fold,unseen_ROC,unseen_PR,meta_test_ROC,meta_test_PR,few_query_ROC,few_query_PR
0,1.0,0.9252745199824209,0.05092698631074786,0.7854124931557407,0.13570583554070237,0.9568106731965175,0.08186002366795557
1,2.0,0.7939861242333185,0.04776061656032149,0.8769418910497278,0.2704534536713756,0.8818028995646766,0.06254152284851694
2,3.0,0.4736247969141672,0.009275952082505331,0.8214128621910366,0.1707760401293901,0.7758550995024877,0.03540799786040412
3,4.0,0.9368301442753741,0.05616198656511067,0.8104577086791066,0.19839448669875948,0.9521610696517413,0.05972046362409211
4,5.0,0.849512568480058,0.04617579799387725,0.866814072913464,0.3020518143985459,0.8916035059079601,0.07999939199520131
mean,3.0,0.7958456307770677,0.042060267902512515,0.8322078055978152,0.21547632608775472,0.8916466495646767,0.063905879999234
