,fold,unseen_ROC,unseen_PR,meta_test_ROC,meta_test_PR,few_query_ROC,few_query_PR
0,1.0,0.5903480273132473,0.12966340238244914,0.7953090951061865,0.41041444742831945,0.9451171875,0.5310438372021634
1,2.0,0.7101843302212648,0.1660223053433889,0.8797588873499538,0.5471748700896348,0.9450520833333333,0.5374559860998768
2,3.0,0.6296512887156163,0.11675191784840529,0.7899381348107111,0.3974671186134669,0.9167317708333333,0.548662841746462
3,4.0,0.6147338782303386,0.13400666973422762,0.8036072253000923,0.4961993144264049,0.9317708333333334,0.4749803694531122
4,5.0,0.6374120812101729,0.15995756500368843,0.9034883425669437,0.6101583339946107,0.919140625,0.5299491895433474
mean,3.0,0.636465921138128,0.14128037206243188,0.8344203370267774,0.4922828169104874,0.9315624999999998,0.5244184448089924
