,fold,unseen_ROC,unseen_PR,meta_test_ROC,meta_test_PR,few_query_ROC,few_query_PR
0,1.0,0.9153137880438589,0.13980502563410238,0.7750684606252473,0.15916654354398202,0.9422526041666667,0.24006359343892086
1,2.0,0.5854048702001918,0.08315104881909775,0.8731850267115155,0.41665207506376223,0.918656994047619,0.2856374190158902
2,3.0,0.7327954388896216,0.083410534391923,0.795459001121224,0.21777642924840473,0.9433686755952382,0.16330301386756124
3,4.0,0.8916705343605927,0.11420662041060424,0.8321832294552169,0.3097867948880777,0.9494419642857143,0.23117161304529218
4,5.0,0.6606736138592093,0.08426935418544247,0.913849830167524,0.4810002876982747,0.8978329613095238,0.23294839176365847
mean,3.0,0.7571716490706948,0.10096851668823396,0.8379491096161455,0.3168764260885003,0.9303106398809524,0.23062480622626458
